lad_code,council,country,provider_id,collection_source_status,commercial_stage,priority,contact_name,contact_role,contact_email,last_contacted,next_action_date,next_action,notes
E06000001,Hartlepool,England,lad-e06000001,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000002,Middlesbrough,England,lad-e06000002,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000003,Redcar and Cleveland,England,lad-e06000003,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000004,Stockton-on-Tees,England,lad-e06000004,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000005,Darlington,England,lad-e06000005,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000006,Halton,England,lad-e06000006,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000007,Warrington,England,lad-e06000007,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000008,Blackburn with Darwen,England,lad-e06000008,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000009,Blackpool,England,lad-e06000009,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000010,"Kingston upon Hull, City of",England,lad-e06000010,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000011,East Riding of Yorkshire,England,lad-e06000011,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000012,North East Lincolnshire,England,lad-e06000012,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000013,North Lincolnshire,England,lad-e06000013,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000014,York,England,lad-e06000014,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000015,Derby,England,lad-e06000015,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000016,Leicester,England,lad-e06000016,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000017,Rutland,England,lad-e06000017,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000018,Nottingham,England,lad-e06000018,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000019,"Herefordshire, County of",England,lad-e06000019,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000020,Telford and Wrekin,England,lad-e06000020,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000021,Stoke-on-Trent,England,lad-e06000021,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000022,Bath and North East Somerset,England,lad-e06000022,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000023,"Bristol, City of",England,lad-e06000023,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000024,North Somerset,England,lad-e06000024,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000025,South Gloucestershire,England,lad-e06000025,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000026,Plymouth,England,lad-e06000026,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000027,Torbay,England,lad-e06000027,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000030,Swindon,England,lad-e06000030,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000031,Peterborough,England,lad-e06000031,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000032,Luton,England,lad-e06000032,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000033,Southend-on-Sea,England,lad-e06000033,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000034,Thurrock,England,lad-e06000034,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000035,Medway,England,lad-e06000035,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000036,Bracknell Forest,England,lad-e06000036,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000037,West Berkshire,England,lad-e06000037,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000038,Reading,England,lad-e06000038,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000039,Slough,England,lad-e06000039,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000040,Windsor and Maidenhead,England,lad-e06000040,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000041,Wokingham,England,lad-e06000041,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000042,Milton Keynes,England,lad-e06000042,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000043,Brighton and Hove,England,lad-e06000043,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000044,Portsmouth,England,lad-e06000044,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000045,Southampton,England,lad-e06000045,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000046,Isle of Wight,England,lad-e06000046,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000047,County Durham,England,lad-e06000047,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000049,Cheshire East,England,lad-e06000049,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000050,Cheshire West and Chester,England,lad-e06000050,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000051,Shropshire,England,lad-e06000051,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000052,Cornwall,England,lad-e06000052,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000053,Isles of Scilly,England,lad-e06000053,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000054,Wiltshire,England,lad-e06000054,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000055,Bedford,England,lad-e06000055,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000056,Central Bedfordshire,England,lad-e06000056,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000057,Northumberland,England,lad-e06000057,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000058,"Bournemouth, Christchurch and Poole",England,lad-e06000058,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000059,Dorset,England,lad-e06000059,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000060,Buckinghamshire,England,lad-e06000060,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000061,North Northamptonshire,England,lad-e06000061,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000062,West Northamptonshire,England,lad-e06000062,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000063,Cumberland,England,lad-e06000063,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000064,Westmorland and Furness,England,lad-e06000064,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000065,North Yorkshire,England,lad-e06000065,nationwide-routing-unverified,not-contacted,,,,,,,,
E06000066,Somerset,England,lad-e06000066,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000008,Cambridge,England,lad-e07000008,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000009,East Cambridgeshire,England,lad-e07000009,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000010,Fenland,England,lad-e07000010,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000011,Huntingdonshire,England,lad-e07000011,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000012,South Cambridgeshire,England,lad-e07000012,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000032,Amber Valley,England,lad-e07000032,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000033,Bolsover,England,lad-e07000033,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000034,Chesterfield,England,lad-e07000034,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000035,Derbyshire Dales,England,lad-e07000035,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000036,Erewash,England,lad-e07000036,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000037,High Peak,England,lad-e07000037,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000038,North East Derbyshire,England,lad-e07000038,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000039,South Derbyshire,England,lad-e07000039,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000040,East Devon,England,lad-e07000040,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000041,Exeter,England,lad-e07000041,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000042,Mid Devon,England,lad-e07000042,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000043,North Devon,England,lad-e07000043,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000044,South Hams,England,lad-e07000044,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000045,Teignbridge,England,lad-e07000045,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000046,Torridge,England,lad-e07000046,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000047,West Devon,England,lad-e07000047,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000061,Eastbourne,England,lad-e07000061,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000062,Hastings,England,lad-e07000062,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000063,Lewes,England,lad-e07000063,nationwide-routing-unverified,not-contacted,,,,,,,,
E07000064,Rother,England,lad-e07000064,nationwide-routing-unverified,not-contacted,,,,,,,,
